"Activity" "Subject" "Mean"
"WALKING" 1 -0.380561496143672
"WALKING" 1 -0.373762232922353
"WALKING" 1 -0.37308955880943
"WALKING" 1 -0.368292665177166
"WALKING" 1 -0.365736922235258
"WALKING" 1 -0.355583521639875
"WALKING" 1 -0.355127713182709
"WALKING" 1 -0.354647828915686
"WALKING" 1 -0.353605203906239
"WALKING" 1 -0.353360423243012
"WALKING" 1 -0.352395206693405
"WALKING" 1 -0.352288577881818
"WALKING" 1 -0.351589902645811
"WALKING" 1 -0.348665108373048
"WALKING" 1 -0.347210913801783
"WALKING" 1 -0.347017691328111
"WALKING" 1 -0.345469980818966
"WALKING" 1 -0.344280113168663
"WALKING" 1 -0.341955119642424
"WALKING" 1 -0.340893880442977
"WALKING" 1 -0.340453513413012
"WALKING" 1 -0.340248977043137
"WALKING" 1 -0.339493937845633
"WALKING" 1 -0.339162712578289
"WALKING" 1 -0.338178109817112
"WALKING" 1 -0.338066160478788
"WALKING" 1 -0.337928328406061
"WALKING" 1 -0.337705882233512
"WALKING" 1 -0.337393509857326
"WALKING" 1 -0.336874138709626
"WALKING" 1 -0.335850235525686
"WALKING" 1 -0.335468632529768
"WALKING" 1 -0.335428887950463
"WALKING" 1 -0.334807326051462
"WALKING" 1 -0.334004255122638
"WALKING" 1 -0.332225161341711
"WALKING" 1 -0.33209124773328
"WALKING" 1 -0.331673127488948
"WALKING" 1 -0.329810664737308
"WALKING" 1 -0.325194166636185
"WALKING" 1 -0.324843568015098
"WALKING" 1 -0.32415964421426
"WALKING" 1 -0.321945275598021
"WALKING" 1 -0.321429542123886
"WALKING" 1 -0.320794428905348
"WALKING" 1 -0.320567937059964
"WALKING" 1 -0.317855160262977
"WALKING" 1 -0.317740158423119
"WALKING" 1 -0.316400444072193
"WALKING" 1 -0.31590897285
"WALKING" 1 -0.315476639258467
"WALKING" 1 -0.315210564374332
"WALKING" 1 -0.314193721670945
"WALKING" 1 -0.313297681915508
"WALKING" 1 -0.312974281963975
"WALKING" 1 -0.312844901594547
"WALKING" 1 -0.312780068597326
"WALKING" 1 -0.311631374667201
"WALKING" 1 -0.311396886112834
"WALKING" 1 -0.31057771928082
"WALKING" 1 -0.309934396000356
"WALKING" 1 -0.309874409699393
"WALKING" 1 -0.308141080567879
"WALKING" 1 -0.306718902846168
"WALKING" 1 -0.304188127793048
"WALKING" 1 -0.303972551243832
"WALKING" 1 -0.303826568447665
"WALKING" 1 -0.303804710649643
"WALKING" 1 -0.303307946885027
"WALKING" 1 -0.303096162593654
"WALKING" 1 -0.303013392548841
"WALKING" 1 -0.302502846966506
"WALKING" 1 -0.302389739504831
"WALKING" 1 -0.302374811990553
"WALKING" 1 -0.299812566083779
"WALKING" 1 -0.298929348282496
"WALKING" 1 -0.297645063976114
"WALKING" 1 -0.296184399174064
"WALKING" 1 -0.293726932533333
"WALKING" 1 -0.293470167709661
"WALKING" 1 -0.293289650625134
